token_address,pool_address
0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39,0x55D5c232D921B9eAA6b37b5845E439aCD04b4DBa
0xdAC17F958D2ee523a2206206994597C13D831ec7,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852
0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0xd3d2E2692501A5c9Ca623199D38826e513033a17
0x4Fabb145d64652a948d72533023f6E7A623C7C53,0xC2923b8a9683556A3640ccc2961B2F52B5C4459A
0x514910771AF9Ca656af840dff83E8264EcF986CA,0xa2107FA5B38d9bbd2C461D6EDf11B11A50F6b974
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940
0x6e1A19F235bE7ED8E3369eF73b196C07257494DE,0xE6Ca7720Dd7D464c8fF293aa243FEab48305eead
0xE1Be5D3f34e89dE342Ee97E6e90D405884dA6c67,0x7c8699ECb6d16010F91372f6F3103Fe5aac78810
0x4Ddc2D193948926D02f9B1fE9e1daa0718270ED5,0x7f438878071228319Bd321B170EE16fC92fd6D12
0x4E15361FD6b4BB609Fa63C81A2be19d873717870,0x1ffC57cAda109985aD896a69FbCEBD565dB4290e
0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0x4028DAAC072e492d34a3Afdbef0ba7e35D8b55C4
0xA0b73E1Ff0B80914AB6fe0444E65848C4C34450b,0x90704Ac59E7E54632b0CC9d22573aeCD7eB094ad
0x75231F58b43240C9718Dd58B4967c5114342a86c,0x17782D58c715aa2A4458D5FB1C1d8e52a69a62Fc
0x4a220E6096B25EADb88358cb44068A3248254675,0x0C4a68Cf6857cc76FE946d04Fe85faC5faE9625E
0xc944E90C64B2c07662A292be6244BDf05Cda44a7,0x2e81eC0B8B4022fAC83A21B2F2B4B8f5ED744D70
0xa47c8bf37f92aBed4A126BDA807A7b7498661acD,0xc628da629c615909c961b1C69C3bCAc0c3FAd8a9
0x39AA39c021dfbaE8faC545936693aC917d5E7563,0x477fA5406598f8eb1945291867E1654C4d931659
0x2AF5D2aD76741191D15Dfe7bF6aC92d4Bd912Ca3,0x523a36AD73C402e456F49B04F0fe8eBA5A8C85CD
0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643,0x9896BD979f9DA57857322Cc15e154222C4658a5a
0xE83CCCfABD4eD148903Bf36d4283eE7C8b3494D1,0xAe30E27FbD0dCd2a4dfF66D5a021C6319D669100
0xaaAEBE6Fe48E54f431b0C390CfaF0b017d09D42d,0xa5E79baEe540f000ef6F23D067cd3AC22c7d9Fe6
0xfF20817765cB7f73d4bde2e66e067E58D11095C2,0x08650bb9dc722C9c8C62E79C2BAfA2d3fc5B3293
0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0xC2aDdA861F89bBB333c90c492cB837741916A225
0x0316EB71485b0Ab14103307bf65a021042c6d380,0xA6F4EAE7FdaA20E632C45d4cd39E4f3961892322
0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,0xCE84867c3c02B05dc570d0135103d3fB9CC19433
0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,0x48E313460DD00100e22230e56E0A87B394066844
0xc00e94Cb662C3520282E6f5717214004A7f26888,0xCFfDdeD873554F362Ac02f8Fb1f02E5ada10516f
0xE452E6Ea2dDeB012e20dB73bf5d3863A3Ac8d77a,0x8D1cA95559ABEd542eF4402a252974221B5E1036
0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0xff58711683Be66daD6e0e20E0043AF46FC7f5F49
0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x43AE24960e5534731Fc831386c07755A2dc33D47
0x6c6EE5e31d828De241282B9606C8e98Ea48526E2,0xf5ef67632cd2256d939702a126FE2c047d0a07bf
0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c,0xE56c60B5f9f7B5FC70DE0eb79c6EE7d00eFa2625
0x41AB1b6fcbB2fA9DCEd81aCbdeC13Ea6315F2Bf2,0x6dD0C7850704a87f96Bc152dbeB41AD35CCDf56b
0x0000000000085d4780B73119b644AE5ecd22b376,0xb4d0d9df2738abE81b87b66c80851292492D1404
0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0x2fDbAdf3C4D5A8666Bc06645B8358ab803996E28
0x6f259637dcD74C767781E37Bc6133cd6A68aa161,0x26cE49c08EE71afF0C43dB8F8B9bEa950b6cdC67
0x99D8a9C45b2ecA8864373A26D1459e3Dff1e17F3,0xf34CAdb94e038CDAcB4De4bb4263eEc83eE17F5B
0x0D8775F648430679A709E98d2b0Cb6250d2887EF,0xB6909B960DbbE7392D405429eB2b3649752b4838
0x476c5E26a75bd202a9683ffD34359C0CC15be0fF,0xCc3d1EceF1F9fD25599dbeA2755019DC09db3c54
0x16631e53C20Fd2670027C6D53EfE2642929b285C,0x5eD7d3B704D692938EE25fA2C7e75A1E10670b33
0x467Bccd9d29f223BcE8043b84E8C8B282827790F,0x291c69fdaebd3CBE953843DA243F8605A766a268
0xB62132e35a6c13ee1EE0f84dC5d40bad8d815206,0x2615b89AD032CcDa6D67e1D511F0E4c9e3a5dc13
