token_address,pool_address,type
0x57b5cc6c8f6ed481be23fa411671128ebbdb3c33,0x8bcd66419f0841434b76e63741030d2a2314e01f,conditional_asserting
0xf69a9b73a45e8ce7fd75bc0e7773824c585f6f35,0x49c4473ace1d5bbff26c00a7f8cf1540daf18907,conditional_asserting
0xd74d7e9fee4283564dac6d524c0f80170504cec6,0x6e36d1373fa709183dc8155936be0060df61696a,conditional_asserting
0xa0ade8c33166662c28fde74c3321e260be230315,0xc0e5aad0622feccf3edd52f41e0cc540ca6be6ac,conditional_asserting
0x9671065b4fad632222de0f4e0d873fe26d908e3d,0x008e5560764e7ac9650485b24e683a5a681b6587,conditional_asserting
0x4cc9c3ccfa6b3fc0ea72a80cf179fef3774af5e0,0x9fc4a2cb0aa06a0f7b16da0361610fa7ebd2c62a,conditional_asserting
0x1521074a4423265c7c9ddd88296997eaea210dc5,0xf1cee61dfbd9850f8b91cbffb4f4e223aa22a2fc,conditional_asserting
0x61a956a62828e995f8835e5c425fd735053cd0af,0x5f352a0cc3b8f00b6736b3b4bb8a563e210c8b3e,conditional_asserting
0x21678d17d7844762ab3c39e0351996ba3a3e6035,0x3d01435a72a28872abcf10524722ee5e24bac914,conditional_asserting
0xa940d5aacbc0cba1a59d761b3dba16ebf2ee0510,0x0598f7431876033b6d27a6a481788fee552f553c,conditional_asserting
0x15489e5e954f91f530f5521dec51d9e704e931e9,0xa406d321d35c7113545a6cb0a56836bc77e0dc10,conditional_asserting
0x510820b74d0d1e0310d670a94ee6f3204238da37,0x182b47c20d29cd349f0c7adb0d024ec126875a4c,conditional_asserting
0x54c808593c99644c187e0dfab6b725d9319c165f,0x27e5e4a884bc10af78dcd352eba3386cafce073b,conditional_asserting
0x87a7712924ed990c588f3e45474831478da50a60,0x0c55afbcd6922f7865b04b8b6bd6051cb60dc71a,conditional_asserting
0xfd4a79181d65cde2bffe3113e0b9aa1661df075c,0xd5b7215e4637d5e642c387737bf826d5c0934da5,conditional_asserting
0x389f518379dc7bcae691d6750725f724b7a486a6,0xafea1dad13168a1a3b957e86fc8a40b46cc65119,conditional_asserting
